ID,NAME,LEVEL,ICON,CHAT_LINK
6,208738,0,https://render.guildwars2.com/file/CC2E01E0F566A6EEF4F2EC2B19AA7A3E1FEFB1B4/60984.png,[&AgEGAAAA]
15,Abomination Hammer,0,https://render.guildwars2.com/file/E8507FFB6CF3C9094A69956344CEDBD9B47D95B6/434872.png,[&AgEPAAAA]
24,Sealed Package of Snowballs,0,https://render.guildwars2.com/file/1D05D1EE04E16E69710E1EAB11AC466BBF105778/219347.png,[&AgEYAAAA]
46,Gladiator Weapon,0,https://render.guildwars2.com/file/4AECE5EA59CA057F4C53E1EDFE95E0E3E61DE37F/60980.png,[&AgEuAAAA]
56,Strong Back Brace,0,https://render.guildwars2.com/file/03B65C435B15EB2C10E04F3454B03718AAF3AE90/61004.png,[&AgE4AAAA]
57,Hearty Back Brace,0,https://render.guildwars2.com/file/03B65C435B15EB2C10E04F3454B03718AAF3AE90/61004.png,[&AgE5AAAA]
58,Enduring Back Brace,0,https://render.guildwars2.com/file/03B65C435B15EB2C10E04F3454B03718AAF3AE90/61004.png,[&AgE6AAAA]
59,Berserkers Spineguard of Ruby,80,https://render.guildwars2.com/file/03B65C435B15EB2C10E04F3454B03718AAF3AE90/61004.png,[&AgE7AAAA]
60,Clerics Spineguard of Sapphire,80,https://render.guildwars2.com/file/03B65C435B15EB2C10E04F3454B03718AAF3AE90/61004.png,[&AgE8AAAA]
61,Rampagers Spineguard of Coral,80,https://render.guildwars2.com/file/03B65C435B15EB2C10E04F3454B03718AAF3AE90/61004.png,[&AgE9AAAA]
62,Shirt,0,https://render.guildwars2.com/file/A146C05DE3F7D9067204BD7EC80F5906B4212AE1/66608.png,[&AgE+AAAA]
63,Leggings,0,https://render.guildwars2.com/file/4627D7B2CBEEFF32E37F7241DFC8A61CB7C5EC1E/66611.png,[&AgE/AAAA]
64,Boots,0,https://render.guildwars2.com/file/3E521824FA0218F33BEBD6006F3993F3249C7646/66648.png,[&AgFAAAAA]
65,Shirt,0,https://render.guildwars2.com/file/A146C05DE3F7D9067204BD7EC80F5906B4212AE1/66608.png,[&AgFBAAAA]
68,Mighty Country Coat,0,https://render.guildwars2.com/file/F03808FFE89B40044671EED2E427053B389BE0A1/61007.png,[&AgFEAAAA]
69,Mighty Country Coat,0,https://render.guildwars2.com/file/F03808FFE89B40044671EED2E427053B389BE0A1/61007.png,[&AgFFAAAA]
